ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,Substrate Roughness,Backs parameter 1,Scalefactor 1
1,0,.24610715,.0000000,58,54,-11.421226,.29253148E-01,.74013034,.16751775
1,0,.24361974,.0000000,58,4,-14.023918,.10507098E-02,.75449466,.14763175
1,0,.24024486,.86810217E-01,58,8,-14.425689,.63220780E-01,.72282961,.19146856
1,0,.24227629,.0000000,58,1,-11.737779,.41296579E-01,.73399605,.17601024
1,0,.24300088,.0000000,58,3,-11.680246,.40305910E-01,.73450045,.17531178
1,0,.24213943,.0000000,58,3,-12.592415,.50970552E-01,.72906844,.18283156
1,0,.24086029,.70322149E-01,58,5,-12.923474,.53658719E-01,.72769950,.18472717
1,0,.24096849,.0000000,58,4,-11.906793,.43781476E-01,.73273023,.17776286
1,0,.24229346,.0000000,58,2,-11.795055,.19337050E-01,.74518040,.16052657
1,0,.24006383,.71130370E-01,58,5,-12.908809,.53547392E-01,.72775579,.18464817
1,0,.24079192,.0000000,58,3,-12.861585,.85788928E-02,.75065948,.15294039
1,0,.24268994,.0000000,58,1,-11.669468,.21400955E-01,.74412894,.16198132
1,0,.24449753,.0000000,58,1,-11.702471,.40702320E-01,.73429814,.17559059
1,0,.23838427,.96037934E-01,58,13,-12.136989,.46560779E-01,.73131405,.17972118
1,0,.23864909,.0000000,58,4,-11.435418,.28072084E-01,.74073102,.16668486
1,0,.23951957,.0000000,58,4,-11.417065,.31600943E-01,.73893329,.16917363
1,0,.24068946,.0000000,58,5,-11.415334,.30317048E-01,.73958709,.16826823
1,0,.24197646,.0000000,58,1,-11.649125,.39727257E-01,.73479387,.17490341
1,0,.24374342,.0000000,58,1,-11.597210,.38664262E-01,.73533526,.17415429
1,0,.24352424,.17083212,58,9,-11.602387,.38776039E-01,.73527850,.17423318
1,0,.24303311,.0000000,58,5,-11.526039,.36922387E-01,.73622223,.17292598
1,0,.24146665,.0000000,58,7,-11.529798,.24454188E-01,.74257234,.16413463
1,0,.24205668,.0000000,58,1,-12.207919,.14300266E-01,.74774378,.15697484
1,0,.24339847,.0000000,58,1,-12.372150,.12687581E-01,.74856484,.15583806
1,0,.23965143,.23964501,58,12,-12.743943,.94902861E-02,.75019276,.15358457
1,0,.23901811,.0000000,58,6,-11.468555,.35031260E-01,.73718433,.17159297
1,0,.23870717,.0000000,58,6,-11.446593,.34037162E-01,.73769188,.17089119
1,0,.23741389,.15335412,58,7,-11.427055,.28675928E-01,.74042180,.16711065
1,0,.23538712,.0000000,58,7,-11.829399,.42711375E-01,.73327330,.17700691
1,0,.23599765,.0000000,58,4,-11.822548,.18933743E-01,.74538390,.16024092
1,0,.23681139,.0000000,58,2,-11.955383,.44420559E-01,.73240295,.17821102
1,0,.23554205,.14482208,58,11,-12.047204,.45542247E-01,.73183223,.17900190
1,0,.23337177,.0000000,58,9,-11.683930,.21140494E-01,.74426055,.16179637
1,0,.23485461,.0000000,58,1,-11.509046,.25047013E-01,.74227011,.16455105
1,0,.23164848,.10235064,58,17,-11.692211,.40525955E-01,.73438636,.17546533
1,0,.23113208,.0000000,58,7,-11.724798,.41086294E-01,.73410016,.17586091
1,0,.23078681,.0000000,58,4,-12.101146,.15442205E-01,.74716098,.15777812
1,0,.23071663,.0000000,58,5,-11.565526,.37952637E-01,.73569614,.17364899
1,0,.22940452,.13348018,58,7,-11.702709,.20812596E-01,.74442613,.16156364
1,0,.22736070,.0000000,58,14,-11.772938,.41870194E-01,.73370009,.17641135
1,0,.22837049,.0000000,58,2,-11.535422,.24302783E-01,.74264910,.16402474
1,0,.22749450,.17205556,58,6,-11.682736,.40362995E-01,.73446857,.17534832
1,0,.22770839,.0000000,58,3,-12.194643,.14440263E-01,.74767267,.15707107
1,0,.22646922,.0000000,58,13,-11.420374,.32125074E-01,.73866679,.16954082
1,0,.22693569,.0000000,58,2,-11.733231,.41228552E-01,.73402924,.17596001
1,0,.22476325,.43386524E-01,58,14,-11.462567,.34796072E-01,.73730450,.17142401
1,0,.22555772,.0000000,58,2,-11.850423,.18539402E-01,.74558491,.15996208
1,0,.22372389,.0000000,58,13,-11.922015,.17580110E-01,.74607425,.15928555
1,0,.22419982,.0000000,58,1,-12.571858,.10909572E-01,.74947184,.15458115
1,0,.22310762,.0000000,58,6,-12.996793,.54219568E-01,.72741374,.18511964
1,0,.22362755,.32184982E-01,58,3,-11.545578,.24040195E-01,.74278477,.16384076
1,0,.22484635,.0000000,58,1,-11.415241,.31146299E-01,.73916572,.16885050
1,0,.22505933,.0000000,58,2,-11.950044,.17223366E-01,.74625697,.15903425
1,0,.22320886,.0000000,58,8,-12.455512,.11926206E-01,.74895375,.15529844
1,0,.22246431,.11777159E-01,58,4,-13.351681,.56741712E-01,.72612808,.18689785
1,0,.22195474,.0000000,58,6,-12.151306,.14897282E-01,.74743995,.15739323
1,0,.22178892,.0000000,58,5,-11.494234,.35969313E-01,.73670807,.17225133
1,0,.22192658,.0000000,58,3,-11.772739,.41864911E-01,.73370620,.17640752
1,0,.21870416,.16871603E-01,58,12,-12.580012,.50865953E-01,.72912193,.18275637
1,0,.21888798,.0000000,58,4,-11.467507,.34991311E-01,.73720586,.17156369
1,0,.21540414,.0000000,58,14,-12.027946,.45309867E-01,.73195059,.17883983
1,0,.21653143,.12318137E-01,58,1,-11.864634,.43208918E-01,.73301987,.17735901
1,0,.21703273,.0000000,58,3,-11.675467,.40221394E-01,.73454087,.17525211
1,0,.21515932,.0000000,58,14,-12.016224,.45168544E-01,.73202122,.17874079
1,0,.21595607,.0000000,58,2,-11.748157,.41461344E-01,.73390974,.17612880
1,0,.21674839,.0000000,58,2,-11.428776,.32909300E-01,.73826587,.17009810
1,0,.21723031,.84897964E-01,58,3,-11.431589,.33113385E-01,.73816245,.17024303
1,0,.21824972,.0000000,58,1,-11.480546,.25983427E-01,.74179339,.16521523
1,0,.21809090,.0000000,58,2,-12.614756,.10540251E-01,.74965737,.15432663
1,0,.21861311,.0000000,58,3,-12.035580,.16183759E-01,.74678298,.15830471
1,0,.21938615,.0000000,58,2,-11.556865,.37731084E-01,.73580706,.17349708
1,0,.22009332,.0000000,58,3,-11.648366,.39712261E-01,.73479701,.17489441
1,0,.22025945,.83644859E-01,58,4,-11.415693,.30191152E-01,.73964833,.16818197
1,0,.22081017,.0000000,58,1,-11.884754,.43475740E-01,.73288329,.17755163
1,0,.22096795,.0000000,58,4,-11.593050,.38562598E-01,.73538567,.17408670
1,0,.21995058,.90234248E-01,58,8,-12.016992,.16399971E-01,.74667288,.15845957
1,0,.21892295,.0000000,58,6,-12.802907,.90244893E-02,.75042956,.15325848
1,0,.21915775,.0000000,58,7,-12.865382,.85445808E-02,.75067173,.15291969
1,0,.22008955,.0000000,58,3,-12.890316,.83556610E-02,.75076863,.15278695
1,0,.22082039,.0000000,58,2,-11.735745,.41252528E-01,.73401495,.17598436
1,0,.21973622,.12486553,58,9,-11.596333,.22845660E-01,.74338966,.16300468
1,0,.22017426,.0000000,58,3,-11.419225,.31911266E-01,.73877234,.16939873
1,0,.22032682,.0000000,58,4,-11.417426,.31650550E-01,.73890440,.16921249
1,0,.21936619,.0000000,58,6,-11.992680,.16691786E-01,.74652556,.15866503
1,0,.22035558,.0000000,58,1,-11.479472,.35438852E-01,.73697777,.17188259
1,0,.22121098,.0000000,58,1,-11.589152,.23003769E-01,.74330931,.16311385
1,0,.22131046,.69748927E-01,58,4,-11.625995,.39268357E-01,.73502561,.17458121
1,0,.22026602,.0000000,58,9,-11.662301,.39978974E-01,.73466489,.17508060
1,0,.21993001,.0000000,58,9,-11.724903,.20435198E-01,.74461864,.16130310
1,0,.22088950,.0000000,58,1,-11.428513,.28563906E-01,.74047785,.16703499
1,0,.22103203,.12268931E-01,58,4,-11.419028,.29541340E-01,.73998035,.16772469
1,0,.22153341,.0000000,58,1,-11.879225,.18139189E-01,.74578732,.15968519
1,0,.21964932,.0000000,58,18,-11.417052,.29884703E-01,.73980705,.16796637
1,0,.21850803,.22108204E-01,58,9,-11.571897,.23397497E-01,.74311096,.16339002
1,0,.21955898,.0000000,58,3,-11.456376,.34499971E-01,.73745555,.17122086
1,0,.21979499,.0000000,58,4,-11.550128,.37556535E-01,.73589975,.17337463
1,0,.21931248,.0000000,58,10,-11.474266,.26216645E-01,.74167571,.16537810
1,0,.21971708,.10155541E-01,58,3,-11.590876,.22965717E-01,.74332902,.16308795
1,0,.21977172,.0000000,58,1,-12.911258,.82010495E-02,.75084999,.15267636
1,0,.21998889,.0000000,58,1,-13.807616,.22925622E-02,.75385856,.14851040
1,0,.22063333,.0000000,58,2,-13.360853,.50636710E-02,.75244631,.15046350
1,0,.22152915,.0000000,58,1,-11.491778,.25590568E-01,.74199028,.16494066
1,0,.22032670,.27851414E-01,58,13,-11.415363,.31043477E-01,.73921347,.16878689
1,0,.22025767,.0000000,58,10,-11.419536,.29489109E-01,.74000525,.16769252
1,0,.22004508,.0000000,58,2,-12.804837,.52713619E-01,.72817489,.18407086
1,0,.22091557,.0000000,58,1,-12.556011,.50636005E-01,.72923405,.18260473
1,0,.21981884,.10700056,58,10,-12.757084,.52335491E-01,.72836817,.18380135
1,0,.22054968,.0000000,58,1,-12.881872,.53325237E-01,.72786206,.18449959
1,0,.22140810,.0000000,58,1,-12.441783,.12035355E-01,.74889204,.15538700
1,0,.22153350,.47690505E-01,58,4,-11.417958,.29736766E-01,.73987751,.16786881
1,0,.22246568,.0000000,58,2,-11.677147,.21248165E-01,.74419857,.16188701
1,0,.22020478,.0000000,58,14,-11.566915,.23503404E-01,.74304878,.16347752
1,0,.21988462,.0000000,58,2,-13.514148,.40585985E-02,.75295135,.14977081
1,0,.21705949,.18104944,58,23,-11.437486,.27945279E-01,.74078375,.16661296
1,0,.21602488,.0000000,58,7,-12.313813,.13226782E-01,.74827927,.15623000
1,0,.21684067,.0000000,58,1,-11.603896,.38784188E-01,.73526358,.17425109
1,0,.21646895,.0000000,58,7,-11.416622,.29988971E-01,.73973957,.16805280
1,0,.21624425,.19127490,58,7,-11.446717,.27414633E-01,.74104869,.16624230
1,0,.21662203,.0000000,58,3,-11.456895,.34487338E-01,.73744834,.17122695
1,0,.21558909,.0000000,58,7,-12.152212,.14855651E-01,.74744407,.15738921
1,0,.21638464,.0000000,58,1,-12.093532,.15500775E-01,.74711758,.15784052
1,0,.21673939,.0000000,58,3,-12.022107,.45199145E-01,.73198975,.17878365
1,0,.21731133,.0000000,58,2,-11.500577,.25292861E-01,.74212989,.16474620
1,0,.21702090,.0000000,58,4,-12.146642,.14901882E-01,.74741369,.15743265
1,0,.21716823,.13914861,58,2,-12.742537,.52156596E-01,.72843393,.18370904
1,0,.21677839,.0000000,58,7,-11.433328,.28229050E-01,.74061962,.16684181
1,0,.21708455,.0000000,58,1,-12.078710,.15638738E-01,.74703500,.15796181
1,0,.21768151,.0000000,58,1,-12.280055,.47970643E-01,.73056358,.18076578
1,0,.21845839,.0000000,58,1,-12.040092,.16068020E-01,.74681099,.15827595
1,0,.21839258,.14492210,58,5,-11.630927,.22086600E-01,.74374934,.16251466
1,0,.21721812,.0000000,58,9,-13.480188,.57502287E-01,.72570863,.18748710
1,0,.21798405,.0000000,58,1,-12.071075,.15725434E-01,.74699264,.15802342
1,0,.21810887,.0000000,58,4,-11.502312,.36090353E-01,.73661545,.17238984
1,0,.21847257,.0000000,58,1,-12.027181,.16221457E-01,.74673371,.15838197
1,0,.21649551,.19530821,58,14,-11.758201,.41493404E-01,.73385496,.17621348
1,0,.21641666,.0000000,58,5,-11.463108,.34585772E-01,.73736723,.17135349
1,0,.21661250,.0000000,58,2,-11.916815,.43756794E-01,.73269355,.17782448
1,0,.21715229,.0000000,58,2,-11.442381,.27680434E-01,.74088340,.16649078
1,0,.21470032,.19026941,58,17,-11.419100,.29898372E-01,.73974760,.16806228
1,0,.21542434,.0000000,58,1,-11.431217,.32755500E-01,.73829513,.17007334
1,0,.21407383,.0000000,58,11,-11.635805,.39299079E-01,.73496557,.17467753
1,0,.21438717,.11704429,58,5,-11.445954,.33705005E-01,.73780588,.17074799
1,0,.21473630,.0000000,58,1,-11.968192,.16875668E-01,.74637300,.15889256
1,0,.21464480,.0000000,58,3,-12.575802,.50723735E-01,.72916232,.18271221
1,0,.21536597,.0000000,58,1,-12.102447,.46123024E-01,.73152166,.17943935
1,0,.21569005,.24448977E-01,58,3,-11.921192,.43888334E-01,.73264778,.17788066
1,0,.21478583,.0000000,58,9,-13.594608,.58212976E-01,.72533735,.18800476
1,0,.21549837,.0000000,58,1,-12.351630,.12811566E-01,.74846765,.15597973
1,0,.21369804,.0000000,58,14,-11.421820,.29327907E-01,.74004684,.16764051
1,0,.21366956,.0000000,58,2,-12.349377,.48630114E-01,.73021938,.18124448
1,0,.21437227,.0000000,58,1,-11.450029,.27252817E-01,.74109031,.16619992
1,0,.21444788,.0000000,58,4,-11.616511,.38923567E-01,.73515742,.17440621
1,0,.21434104,.0000000,58,1,-13.977104,.12680820E-02,.75435858,.14781889
1,0,.21503941,.0000000,58,1,-11.704400,.20776311E-01,.74443897,.16154371
1,0,.21545305,.0000000,58,2,-11.923052,.17557227E-01,.74607858,.15927624
1,0,.21574864,.54922510E-01,58,4,-11.520824,.36811795E-01,.73628171,.17283549
1,0,.21597931,.0000000,58,7,-11.417231,.29722136E-01,.73989179,.16783545
1,0,.21585085,.0000000,58,8,-11.465553,.26550269E-01,.74150186,.16560841
1,0,.21653450,.0000000,58,1,-11.414940,.31084499E-01,.73918954,.16880956
1,0,.21593556,.70096851E-01,58,7,-11.609236,.38868894E-01,.73520935,.17432479
1,0,.21501625,.0000000,58,10,-11.608244,.38880563E-01,.73521095,.17431894
1,0,.21569005,.0000000,58,1,-11.425469,.32611957E-01,.73840340,.16989916
1,0,.21575557,.0000000,58,7,-11.484538,.25823818E-01,.74186038,.16510921
1,0,.21410812,.90558108E-01,58,20,-11.473007,.26238980E-01,.74163925,.16541689
1,0,.21413054,.0000000,58,1,-12.896592,.83042937E-02,.75078537,.15275221
1,0,.21478872,.0000000,58,1,-11.713023,.20587975E-01,.74450731,.16144780
1,0,.21477076,.95976052E-01,58,6,-11.953276,.44297736E-01,.73242670,.17817510
1,0,.21516605,.0000000,58,4,-11.579376,.38136685E-01,.73555923,.17384183
1,0,.21522511,.0000000,58,3,-11.912354,.43763968E-01,.73270094,.17779883
1,0,.21425001,.0000000,58,11,-12.334412,.48479348E-01,.73028169,.18114358
1,0,.21452242,.0000000,58,4,-11.418973,.31567588E-01,.73889295,.16921889
1,0,.21485502,.0000000,58,1,-11.894926,.43478649E-01,.73281982,.17762636
1,0,.21435654,.10440047,58,11,-11.580545,.38085785E-01,.73555631,.17384256
1,0,.21293223,.0000000,58,11,-12.265073,.13531358E-01,.74803383,.15658068
1,0,.21272238,.0000000,58,6,-11.502275,.25155281E-01,.74211299,.16478519
1,0,.21283521,.0000000,58,3,-11.751184,.41220105E-01,.73393589,.17610085
1,0,.21300539,.15962811,58,8,-11.452086,.27134142E-01,.74113064,.16613771
1,0,.21279512,.0000000,58,7,-11.835785,.42624884E-01,.73325956,.17703476
1,0,.21282596,.0000000,58,9,-11.451375,.27174965E-01,.74111975,.16615429
1,0,.21328757,.0000000,58,1,-11.670493,.39919029E-01,.73463210,.17513743
1,0,.21356295,.29592173E-01,58,5,-11.450820,.27210452E-01,.74111658,.16616096
1,0,.21341151,.0000000,58,6,-11.523101,.24572712E-01,.74245298,.16431641
1,0,.21354765,.0000000,58,5,-11.512285,.24845500E-01,.74227239,.16457001
1,0,.21087887,.0000000,58,22,-12.883765,.53136628E-01,.72789116,.18447721
1,0,.21147760,.0000000,58,1,-12.420481,.12151108E-01,.74879789,.15552996
1,0,.20941630,.87303511E-01,58,24,-11.429325,.32501098E-01,.73840898,.16991773
1,0,.20950752,.0000000,58,3,-11.715760,.20486538E-01,.74453459,.16143703
1,0,.20989876,.0000000,58,2,-11.771341,.19649677E-01,.74499869,.16079354
1,0,.21048489,.0000000,58,1,-11.426474,.28821075E-01,.74032467,.16726507
1,0,.21079256,.0000000,58,1,-11.895630,.43487679E-01,.73284618,.17762478
1,0,.21073052,.0000000,58,1,-13.958929,.13054367E-02,.75432573,.14789527
1,0,.21100237,.0000000,58,3,-11.553418,.37530470E-01,.73590505,.17339483
1,0,.21080675,.79170242E-01,58,6,-11.419177,.29714504E-01,.73989864,.16786742
1,0,.21085790,.0000000,58,1,-12.690815,.51816336E-01,.72866368,.18341734
1,0,.21071769,.0000000,58,1,-16.601214,.73643049E-01,.71758899,.19873842
1,0,.21114217,.0000000,58,2,-13.626963,.34792559E-02,.75331577,.14927615
1,0,.21094894,.72522436E-01,58,6,-11.988030,.45108245E-01,.73216403,.17854850
1,0,.21100747,.0000000,58,5,-11.531493,.37388614E-01,.73608679,.17311623
1,0,.21128922,.0000000,58,3,-11.411888,.30558282E-01,.73956814,.16830248
1,0,.21091602,.58502106E-01,58,6,-11.699332,.40799725E-01,.73431532,.17558089
1,0,.21078494,.0000000,58,2,-13.125248,.55328796E-01,.72692404,.18580642
1,0,.21135436,.0000000,58,1,-11.884021,.18233470E-01,.74584035,.15962385
1,0,.21097592,.33163391E-01,58,6,-12.183315,.47278361E-01,.73103117,.18011202
1,0,.20971400,.0000000,58,20,-11.429117,.28480641E-01,.74058584,.16688638
1,0,.20947503,.0000000,58,2,-14.198261,.62206636E-01,.72344247,.19061135
1,0,.20973725,.0000000,58,3,-13.105497,.55137818E-01,.72699177,.18570081
1,0,.20985059,.0000000,58,4,-12.158645,.15012197E-01,.74748962,.15732313
1,0,.21040625,.0000000,58,1,-11.469652,.26455110E-01,.74163439,.16543712
1,0,.21096113,.0000000,58,1,-11.417894,.32525666E-01,.73857902,.16967015
1,0,.21085408,.0000000,58,2,-12.729524,.52463970E-01,.72843634,.18369762
1,0,.21140748,.0000000,58,1,-12.601755,.10932850E-01,.74961010,.15439147
1,0,.21181177,.65060629E-01,58,2,-12.142345,.47129637E-01,.73121517,.17985145
1,0,.21213455,.0000000,58,2,-12.264298,.14173960E-01,.74805163,.15654225
1,0,.21194457,.0000000,58,6,-11.413086,.32995567E-01,.73848491,.16978815
1,0,.21041810,.0000000,58,18,-11.422468,.33547148E-01,.73815267,.17024448
1,0,.21083723,.0000000,58,1,-11.620620,.22669242E-01,.74370884,.16255089
1,0,.21075417,.0000000,58,5,-11.692302,.41336168E-01,.73424395,.17564607
1,0,.21109008,.0000000,58,2,-11.812346,.43340614E-01,.73326110,.17700851
1,0,.21155170,.0000000,58,1,-11.932894,.44933657E-01,.73242946,.17815953
1,0,.21209026,.22694252,58,1,-11.485169,.26102226E-01,.74204058,.16485252
1,0,.21207662,.0000000,58,8,-11.410697,.29673228E-01,.74025948,.16731447
1,0,.21181117,.0000000,58,4,-12.741527,.53068670E-01,.72831339,.18384623
1,0,.21147657,.0000000,58,10,-11.706139,.21224226E-01,.74450747,.16141977
1,0,.21194793,.0000000,58,1,-11.797825,.19686005E-01,.74522750,.16042847
1,0,.21206178,.13129291,58,2,-12.562014,.11333912E-01,.74942088,.15462031
1,0,.21159515,.0000000,58,7,-12.952697,.82690214E-02,.75099540,.15244506
1,0,.21063049,.0000000,58,12,-12.141252,.15312377E-01,.74738989,.15744075
1,0,.21076395,.45994184E-01,58,4,-11.409187,.30647052E-01,.73955077,.16829638
1,0,.20973861,.0000000,58,13,-11.414241,.29795622E-01,.73994671,.16775098
1,0,.20985188,.0000000,58,3,-11.634529,.39499862E-01,.73492921,.17471561
1,0,.21002450,.0000000,58,6,-11.582802,.38503611E-01,.73546305,.17397010
1,0,.21040339,.94876291E-02,58,2,-11.879597,.18289708E-01,.74579690,.15965835
1,0,.20958274,.0000000,58,12,-12.080072,.46213455E-01,.73159591,.17932301
1,0,.20990986,.0000000,58,1,-12.413724,.12370072E-01,.74876395,.15556273
1,0,.20974307,.0000000,58,6,-11.438245,.33313283E-01,.73801505,.17045389
1,0,.20969086,.65010586E-02,58,5,-11.597671,.22635017E-01,.74336604,.16304425
1,0,.21001602,.0000000,58,3,-11.420832,.29597260E-01,.73985901,.16789178
1,0,.21046064,.0000000,58,1,-11.520209,.36487992E-01,.73636264,.17273372
1,0,.21056151,.0000000,58,4,-11.416276,.32097657E-01,.73874922,.16942335
1,0,.21052219,.26938130E-02,58,7,-11.687982,.40276453E-01,.73445433,.17537357
1,0,.20987507,.0000000,58,11,-11.918889,.43918339E-01,.73264406,.17787344
1,0,.21001574,.0000000,58,1,-12.755643,.93547808E-02,.75023693,.15352026
1,0,.21024236,.0000000,58,1,-13.317951,.54004075E-02,.75229780,.15066063
